CodObr,NumPar,CodPar,Cont,Descri,PreUni,CanPar,RenPar2,FechaIni,CantDias,FechaFin,Seccionada,PartBase,Porcentaje,UniPar,IndIni
"576PDVS2",48,"P0005893",,"S/C DE BANCADA DE BAJA TENSION TIPO B1C1 SEGUN NORMA DE CORPOELC",6.5079999999999998e+01,7.8546000000000004e+02,3.5000000000000000e+01,"04/27/23 00:00:00",2.3000000000000000e+01,"05/29/23 00:00:00",0,0,0.0000000000000000e+00,"ML","I"
"576PDVS2",49,"P0005894",,"SUMINISTRO, TRANSPORTE E INSTALACION DE LAMPARA TIPO M400, CON BOMBILLO DE V/S DE 250 W Y BRAZO DE 2.1 M",2.2025000000000000e+02,6.4000000000000000e+01,1.5000000000000000e+01,"04/27/23 00:00:00",5.0000000000000000e+00,"05/03/23 00:00:00",0,0,0.0000000000000000e+00,"UND","I"
"576PDVS2",50,"P0005895",,"SUMINISTRO Y COLOCACION DE CONDUCTOR ARVIDAL No. 2/0. INCLUYE EL TRANSPORTE",1.2579999999999998e+01,1.2800000000000000e+04,2.0000000000000000e+03,"04/27/23 00:00:00",7.0000000000000000e+00,"05/05/23 00:00:00",0,0,0.0000000000000000e+00,"ml","I"
"576PDVS2",51,"P0003897",,"PINTURA DE ESMALTE EN POSTE BT 27""",1.2098999999999999e+02,5.2000000000000000e+01,1.0000000000000000e+01,"04/27/23 00:00:00",6.0000000000000000e+00,"05/04/23 00:00:00",0,0,0.0000000000000000e+00,"pza","I"
"576PDVS2",52,"P0003898",,"PINTURA DE ESMALTE EN POSTE BT 37""",1.1413000000000000e+02,1.4000000000000000e+01,1.0000000000000000e+01,"04/27/23 00:00:00",2.0000000000000000e+00,"04/28/23 00:00:00",0,0,0.0000000000000000e+00,"pza","I"
"576PDVS2",53,"P0003820",,"PERCHA DE 5  AISLADORES DE BT, ARREGLO EN PASO.",3.6412000000000000e+02,4.0000000000000000e+01,2.6000000000000000e+01,"04/27/23 00:00:00",2.0000000000000000e+00,"04/28/23 00:00:00",0,0,0.0000000000000000e+00,"PIEZA","I"
"576PDVS2",54,"P0003821",,"PERCHA DE 5  AISLADORES DE BT, ARREGLO EN TERMINAL",3.6728000000000003e+02,9.2000000000000000e+01,2.2000000000000000e+01,"04/27/23 00:00:00",5.0000000000000000e+00,"05/03/23 00:00:00",0,0,0.0000000000000000e+00,"PIEZA","I"
"576PDVS2",55,"P0005708",,"CAJA DE CONTROL DE ALUMBRADO DE 2x60 ",1.0384400000000001e+03,1.4000000000000000e+01,3.5000000000000000e+01,"04/27/23 00:00:00",1.0000000000000000e+00,"04/27/23 00:00:00",0,0,0.0000000000000000e+00,"pza","I"
"576PDVS2",56,"P0000160",,"EXCAVACION EN TIERRA A MANO PARA ASIENTO DE FUNDACIONES, ZANJAS, ETC. HASTA PROFUNDIDADES COMPRENDIDAS ENTRE 0m Y 1,50m",1.1230000000000000e+01,3.6000000000000000e+03,5.0000000000000000e+01,"04/27/23 00:00:00",7.2000000000000000e+01,"08/04/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",57,"P0000147",,"CARGA A MANO DE MATERIAL PROVENIENTE DE LA PREPARACION DEL SITIO",7.5400000000000000e+00,4.6800000000000000e+03,8.0000000000000000e+01,"04/27/23 00:00:00",5.9000000000000000e+01,"07/18/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",58,"P0000176",,"CONSTRUCCION DE BASE DE PIEDRA PICADA CORRESPONDIENTE A OBRAS PREPARATIVAS.",6.5450000000000003e+01,1.3500000000000000e+03,3.0000000000000000e+01,"04/27/23 00:00:00",4.5000000000000000e+01,"06/28/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",59,"P0000645",,"SUMINISTRO, PREPARACION Y COLOCACION DE ACERO DE REFUERZO RAT=2.100 kg/cm2, UTILIZANDO CABILLA DE DIAMETRO IGUAL O INFERIOR A 1/2"" EN INFRAESTRUCTURA",4.1299999999999999e+00,8.3127299999999996e+03,1.0000000000000000e+03,"04/27/23 00:00:00",9.0000000000000000e+00,"05/09/23 00:00:00",0,0,0.0000000000000000e+00,"kgf","I"
"576PDVS2",60,"P0000647",,"SUMINISTRO, PREPARACION Y COLOCACION DE ACERO DE REFUERZO RAT=2.100 kg/cm2, UTILIZANDO CABILLA DE DIAMETRO IGUAL O INFERIOR A 3/8"" EN SUPERESTRUCTURA",4.0400000000000000e+00,9.3312000000000007e+03,1.0000000000000000e+03,"04/27/23 00:00:00",1.0000000000000000e+01,"05/10/23 00:00:00",0,0,0.0000000000000000e+00,"kgf","I"
"576PDVS2",61,"EDF-9004",,"SUMINISTRO, TRANSPORTE, PREPARACION Y COLOCACION DE ACERO DE REFUERZO RAT=2.100 KG/CM2, UTILIZANDO CABILLA DE DIAMETRO DE 1/2 A 7/8"" DE PGDA. PARA SUPERESTRUCTURA ",4.1000000000000005e+00,6.2181800000000003e+03,1.0000000000000000e+03,"04/27/23 00:00:00",7.0000000000000000e+00,"05/05/23 00:00:00",0,0,0.0000000000000000e+00,"Kg.","I"
"576PDVS2",62,"P0000648",,"SUMINISTRO, PREPARACION Y COLOCACION DE MALLA SOLDADA DE ACERO PARA REFUERZO EN LOSAS DE FUNDACION DE 6 MM 10 X10",1.0230000000000000e+01,2.8000000000000000e+04,5.0000000000000000e+02,"04/27/23 00:00:00",5.6000000000000000e+01,"07/13/23 00:00:00",0,0,0.0000000000000000e+00,"M2","I"
"576PDVS2",63,"P0002330",,"ENCOFRADO DE MADERA TIPO RECTO, ACABADO CORRIENTE EN LOSAS, INCLUYENDO MACIZADOS",6.8839999999999989e+01,1.5000000000000000e+03,4.0000000000000000e+01,"04/27/23 00:00:00",3.8000000000000000e+01,"06/19/23 00:00:00",0,0,0.0000000000000000e+00,"m2","I"
