CodObr,NumPar,NumSec,Cont,FechaIni,FechaFin,CanPar,CantDias,RenPar2,PartBase,Porcentaje
"576PDVS2",50,1,,"04/27/23 00:00:00","05/05/23 00:00:00",1.2800000000000000e+04,7.0000000000000000e+00,2.0000000000000000e+03,0,0.0000000000000000e+00
"576PDVS2",51,1,,"04/27/23 00:00:00","05/04/23 00:00:00",5.2000000000000000e+01,6.0000000000000000e+00,1.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",52,1,,"04/27/23 00:00:00","04/28/23 00:00:00",1.4000000000000000e+01,2.0000000000000000e+00,1.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",53,1,,"04/27/23 00:00:00","04/28/23 00:00:00",4.0000000000000000e+01,2.0000000000000000e+00,2.6000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",54,1,,"04/27/23 00:00:00","05/03/23 00:00:00",9.2000000000000000e+01,5.0000000000000000e+00,2.2000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",55,1,,"04/27/23 00:00:00","04/27/23 00:00:00",1.4000000000000000e+01,1.0000000000000000e+00,3.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",56,1,,"04/27/23 00:00:00","08/04/23 00:00:00",3.6000000000000000e+03,7.2000000000000000e+01,5.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",57,1,,"04/27/23 00:00:00","07/18/23 00:00:00",4.6800000000000000e+03,5.9000000000000000e+01,8.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",58,1,,"04/27/23 00:00:00","06/28/23 00:00:00",1.3500000000000000e+03,4.5000000000000000e+01,3.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",59,1,,"04/27/23 00:00:00","05/09/23 00:00:00",8.3127299999999996e+03,9.0000000000000000e+00,1.0000000000000000e+03,0,0.0000000000000000e+00
"576PDVS2",60,1,,"04/27/23 00:00:00","05/10/23 00:00:00",9.3312000000000007e+03,1.0000000000000000e+01,1.0000000000000000e+03,0,0.0000000000000000e+00
"576PDVS2",61,1,,"04/27/23 00:00:00","05/05/23 00:00:00",6.2181800000000003e+03,7.0000000000000000e+00,1.0000000000000000e+03,0,0.0000000000000000e+00
"576PDVS2",62,1,,"04/27/23 00:00:00","07/13/23 00:00:00",2.8000000000000000e+04,5.6000000000000000e+01,5.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",63,1,,"04/27/23 00:00:00","06/19/23 00:00:00",1.5000000000000000e+03,3.8000000000000000e+01,4.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",64,1,,"04/27/23 00:00:00","05/02/23 00:00:00",6.0000000000000000e+01,4.0000000000000000e+00,1.6000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",65,1,,"04/27/23 00:00:00","07/07/23 00:00:00",3.3590000000000000e+03,5.2000000000000000e+01,6.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",66,1,,"04/27/23 00:00:00","07/27/23 00:00:00",1.2500000000000000e+05,6.6000000000000000e+01,1.9000000000000000e+03,0,0.0000000000000000e+00
"576PDVS2",67,1,,"04/27/23 00:00:00","12/06/23 00:00:00",1.6000000000000000e+05,1.6000000000000000e+02,1.0000000000000000e+03,0,0.0000000000000000e+00
"576PDVS2",68,1,,"04/27/23 00:00:00","10/11/23 00:00:00",1.0800000000000000e+04,1.2000000000000000e+02,9.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",69,1,,"04/27/23 00:00:00","11/07/23 00:00:00",2.0736000000000000e+04,1.3900000000000000e+02,1.5000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",70,1,,"04/27/23 00:00:00","08/07/23 00:00:00",1.3136000000000000e+04,7.3000000000000000e+01,1.8000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",71,1,,"04/27/23 00:00:00","09/14/23 00:00:00",4.0320000000000000e+04,1.0100000000000000e+02,4.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",72,1,,"04/27/23 00:00:00","06/22/23 00:00:00",1.8260000000000000e+03,4.1000000000000000e+01,4.5000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",73,1,,"04/27/23 00:00:00","10/17/23 00:00:00",1.2380285000000001e+05,1.2400000000000000e+02,1.0000000000000000e+03,0,0.0000000000000000e+00
"576PDVS2",74,1,,"04/27/23 00:00:00","11/14/23 00:00:00",4.1472000000000000e+04,1.4400000000000000e+02,2.8800000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",75,1,,"04/27/23 00:00:00","05/22/23 00:00:00",7.0260000000000000e+03,1.8000000000000000e+01,4.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",76,1,,"04/27/23 00:00:00","07/28/23 00:00:00",3.9800000000000000e+04,6.7000000000000000e+01,6.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",77,1,,"04/27/23 00:00:00","05/30/23 00:00:00",2.3040000000000000e+03,2.4000000000000000e+01,1.0000000000000000e+02,0,0.0000000000000000e+00
"576PDVS2",78,1,,"04/27/23 00:00:00","06/23/23 00:00:00",5.7600000000000000e+02,4.2000000000000000e+01,1.4000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",79,1,,"04/27/23 00:00:00","06/09/23 00:00:00",2.8800000000000000e+03,3.2000000000000000e+01,9.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",80,1,,"04/27/23 00:00:00","08/02/23 00:00:00",3.4560000000000000e+03,7.0000000000000000e+01,5.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",81,1,,"04/27/23 00:00:00","07/04/23 00:00:00",2.4500000000000000e+03,4.9000000000000000e+01,5.0000000000000000e+01,0,0.0000000000000000e+00
"576PDVS2",82,1,,"04/27/23 00:00:00","06/27/23 00:00:00",3.4560000000000000e+03,4.4000000000000000e+01,8.0000000000000000e+01,0,0.0000000000000000e+00
