CodPar,CodIns,CanIns,Deprec,Contad,CodAlt
"P0000211","EQUI0259",1.0000000000000000e+00,1.0000000000000000e+00,30081,
"P0000211","EQUI0362",2.0000000000000000e+00,3.0000000000000001e-03,30082,
"P0000211","EQUI0279",3.0000000000000000e+00,1.0000000000000000e-02,30083,
"P0000645","EQUI0109",1.0000000000000000e+00,1.0000000000000000e+00,30087,
"P0000645","EQUI0342",4.0000000000000000e+00,1.0000000000000000e-02,30088,
"P0000645","EQUI0001",4.0000000000000000e+00,1.0000000000000000e-02,30089,
"P0000645","EQUI0073",3.0000000000000000e+00,1.0000000000000000e-02,30090,
"P0000645","EQUI0124",1.0000000000000000e+00,1.0000000000000000e+00,30091,
"P0000648","EQUI0342",4.0000000000000000e+00,1.0000000000000000e-02,30097,
"P0000648","EQUI0001",4.0000000000000000e+00,1.0000000000000000e-02,30098,
"P0000648","EQUI0073",3.0000000000000000e+00,1.0000000000000000e-02,30099,
"P0000648","EQUI0080",2.0000000000000000e+00,1.0000000000000000e-02,30100,
"P0000696","EQUI0351",2.0000000000000000e+00,1.0000000000000000e-02,30105,
"P0000696","EQUI0286",1.0000000000000000e+00,1.0000000000000000e-02,30106,
"P0000696","EQUI0279",3.0000000000000000e+00,1.0000000000000000e-02,30107,
"P0000696","EQUI0116",2.0000000000000000e+00,1.0000000000000000e-02,30108,
"P0000696","EQUI0296",1.0000000000000000e+00,1.0000000000000000e-02,30109,
"P0000696","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30110,
"P0000696","EQUI0061",2.0000000000000000e+00,3.5000000000000001e-03,30111,
"P0000726","COP078",3.0000000000000000e+00,1.0000000000000000e+00,30112,
"P0000726","EQUI0351",1.0000000000000000e+01,1.0000000000000000e-02,30113,
"P0000726","EQUI0286",1.0000000000000000e+00,1.0000000000000000e-02,30114,
"P0000726","EQUI0279",2.0000000000000000e+01,1.0000000000000000e-02,30115,
"P0000726","EQUI0116",2.0000000000000000e+01,1.0000000000000000e-02,30116,
"P0000726","EQUI0296",5.0000000000000000e+00,1.0000000000000000e-02,30117,
"P0000726","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30118,
"P0000726","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,30119,
"P0000726","EQUI0061",2.0000000000000000e+01,3.5000000000000001e-03,30120,
"P0000738","COP078",3.0000000000000000e+00,1.0000000000000000e+00,30134,
"P0000738","EQUI0005",1.0000000000000000e+01,5.0000000000000001e-03,30135,
"P0000738","EQUI0351",1.0000000000000000e+01,1.0000000000000000e-02,30136,
"P0000738","EQUI0286",1.0000000000000000e+00,1.0000000000000000e-02,30137,
"P0000738","EQUI0279",1.0000000000000000e+01,1.0000000000000000e-02,30138,
"P0000738","EQUI0116",1.0000000000000000e+01,1.0000000000000000e-02,30139,
"P0000738","EQUI0296",1.0000000000000000e+00,1.0000000000000000e-02,30140,
"P0000738","EQUI0275",1.0000000000000000e+00,1.0000000000000000e-02,30141,
"P0000738","EQUI0073",1.0000000000000000e+00,1.0000000000000000e-02,30142,
"P0000896","EQUI0173",1.0000000000000000e+00,1.0000000000000000e-02,30157,
"P0000896","EQUI0183",2.0000000000000000e+00,1.0000000000000000e-02,30158,
"P0000896","EQUI0175",1.0000000000000000e+00,5.0000000000000001e-03,30159,
"P0000896","EQUI0026",2.0000000000000000e+00,1.0000000000000000e-02,30160,
"P0000896","EQUI0024",2.0000000000000000e+00,1.0000000000000000e-02,30161,
"P0000904","EQUI0312",2.0000000000000000e+01,1.0000000000000000e-02,30162,
"P0000904","EQUI0194",2.0000000000000000e+01,1.0000000000000000e-02,30163,
"P0000904","EQUI0014",2.0000000000000000e+01,1.0000000000000000e-02,30164,
"P0005815","EQUI0362",2.0000000000000000e+00,4.0000000000000001e-03,30401,
"P0000822","EQUI0312",2.0000000000000000e+00,1.0000000000000000e-02,30144,
"P0000822","EQUI0026",2.0000000000000000e+00,1.0000000000000000e-02,30145,
"P0000822","EQUI0173",1.0000000000000000e+00,1.0000000000000000e-02,30146,
"P0000849","EQUI0335",1.0000000000000000e+01,1.0000000000000000e-02,30147,
"P0000849","EQUI0296",1.0000000000000000e+01,1.0000000000000000e-02,30148,
"P0000849","EQUI0275",8.0000000000000000e+00,1.0000000000000000e-02,30149,
"P0000849","EQUI0073",4.0000000000000000e+00,1.0000000000000000e-02,30150,
"P0000855","EQUI0253",8.0000000000000000e+00,1.0000000000000000e-02,30151,
"P0000855","EQUI0177",8.0000000000000000e+00,1.0000000000000000e-02,30152,
"P0000855","EQUI0275",4.0000000000000000e+00,1.0000000000000000e-02,30153,
"P0000855","EQUI0073",4.0000000000000000e+00,1.0000000000000000e-02,30154,
"P0000855","EQUI0323",4.0000000000000000e+00,1.0000000000000000e-02,30155,
"P0000855","EQUI0335",4.0000000000000000e+00,1.0000000000000000e-02,30156,
"P0000904","EQUI0173",2.0000000000000000e+01,1.0000000000000000e-02,30165,
"P0000904","EQUI0183",2.0000000000000000e+01,1.0000000000000000e-02,30166,
"P0000904","EQUI0175",2.0000000000000000e+01,5.0000000000000001e-03,30167,
"P0000904","EQUI0026",2.0000000000000000e+01,1.0000000000000000e-02,30168,
"P0000904","EQUI0024",2.0000000000000000e+01,1.0000000000000000e-02,30169,
"P0000909","EQUI0335",8.0000000000000000e+00,1.0000000000000000e-02,30170,
"P0000909","EQUI0217",8.0000000000000000e+00,1.0000000000000000e-02,30171,
"P0000909","EQUI0253",4.0000000000000000e+00,1.0000000000000000e-02,30172,
"P0000909","EQUI0073",4.0000000000000000e+00,1.0000000000000000e-02,30174,
"P0000930","EQUI0217",1.0000000000000000e+00,1.0000000000000000e-02,30175,
"P0000930","EQUI0001",2.0000000000000000e+00,1.0000000000000000e-02,30176,
"P0000930","EQUI0318",2.0000000000000000e+00,1.0000000000000000e-02,30177,
"P0000930","EQUI0073",2.0000000000000000e+00,1.0000000000000000e-02,30178,
"P0000930","EQUI0174",1.0000000000000000e+00,5.0000000000000001e-03,30179,
"P0000935","EQUI0174",5.0000000000000001e-03,5.0000000000000001e-03,30180,
"P0000935","EQUI0217",1.0000000000000000e+00,1.0000000000000000e-02,30181,
"P0000935","EQUI0001",2.0000000000000000e+00,1.0000000000000000e-02,30182,
"P0000935","EQUI0318",2.0000000000000000e+00,1.0000000000000000e-02,30183,
"P0000935","EQUI0073",2.0000000000000000e+00,1.0000000000000000e-02,30184,
"P0000935","EQUI0288",6.6000000000000003e-01,5.0000000000000001e-03,30185,
"P0000936","EQUI0217",1.0000000000000000e+00,1.0000000000000000e-02,30186,
"P0000936","EQUI0001",2.0000000000000000e+00,1.0000000000000000e-02,30187,
"P0001013","EQUI0217",1.0000000000000000e+01,1.0000000000000000e-02,30191,
